VendaID,DataVenda,ProdutoID,ClienteID,Região,Canal,Quantidade,Receita
V408,2024-02-02,P022,C368,Sergipe,Online,3,125.39
V409,2024-04-25,P036,C476,Roraima,Loja Física,8,2439.5
V410,2024-06-08,P013,C388,Ceará,Loja Física,5,3264.9
V411,2023-12-11,P059,C394,Amazonas,Online,9,3719.56
V412,2023-03-28,P055,C480,Amapá,Online,7,4423.0
V413,2023-04-24,P012,C479,Amapá,Loja Física,8,1012.93
V414,2023-07-16,P048,C493,Ceará,Online,1,1562.12
V415,2023-05-16,P039,C055,Maranhão,Loja Física,8,4946.59
V416,2023-01-12,P035,C269,Sergipe,Online,9,2393.3
V417,2024-02-20,P013,C415,Pará,Loja Física,3,3682.48
V418,2024-06-21,P042,C132,Rio de Janeiro,Online,1,3709.43
V419,2024-01-23,P051,C152,Mato Grosso,Online,3,3093.68
V420,2023-01-14,P041,C460,Pernambuco,Loja Física,9,1706.84
V421,2024-06-30,P026,C343,Pará,Online,3,2439.53
V422,2023-07-29,P060,C128,Acre,Loja Física,7,1254.05
V423,2023-01-11,P049,C137,Maranhão,Loja Física,10,3642.12
V424,2023-01-05,P001,C134,Espírito Santo,Loja Física,4,404.41
V425,2024-02-24,P008,C239,Ceará,Online,7,3461.76
V426,2023-12-03,P060,C459,Rio de Janeiro,Loja Física,2,3229.69
V427,2023-12-23,P019,C189,Mato Grosso do Sul,Online,4,4791.07
V428,2024-11-11,P031,C079,Rio Grande do Norte,Loja Física,7,3539.51
V429,2024-09-20,P059,C242,Paraná,Online,4,3433.68
V430,2024-01-14,P039,C448,Rio Grande do Sul,Online,9,2289.07
V431,2023-03-30,P046,C186,Amazonas,Online,1,4160.99
V432,2023-01-11,P058,C259,Tocantins,Online,3,1707.78
V433,2023-12-27,P034,C227,Pará,Online,10,2495.26
V434,2023-01-29,P058,C262,Rio Grande do Norte,Online,8,746.53
V435,2024-09-19,P027,C234,Mato Grosso,Online,9,2365.65
V436,2023-04-21,P052,C158,São Paulo,Online,7,1346.84
V437,2023-01-20,P001,C382,Tocantins,Online,1,2176.12
V438,2024-03-04,P045,C033,Goiás,Online,2,4932.07
V439,2023-01-19,P031,C017,Ceará,Loja Física,3,3867.96
V440,2024-05-05,P050,C329,São Paulo,Loja Física,6,4965.0
V441,2024-09-27,P025,C230,Pernambuco,Loja Física,2,3445.38
V442,2023-05-29,P043,C448,Goiás,Online,6,681.3
V443,2023-10-07,P035,C202,Distrito Federal,Online,4,4190.63
V444,2023-03-01,P049,C012,Ceará,Loja Física,9,2178.23
V445,2024-10-19,P025,C422,Alagoas,Online,8,1796.18
V446,2024-02-13,P018,C097,São Paulo,Online,1,4066.44
V447,2023-06-07,P027,C315,Paraná,Online,4,1109.8
V448,2024-02-20,P007,C305,Amapá,Loja Física,10,3392.92
V449,2024-03-03,P056,C025,Alagoas,Online,7,2250.92
V450,2022-12-28,P035,C112,Paraná,Online,3,2569.09
V451,2024-03-23,P019,C120,Santa Catarina,Loja Física,10,3029.8
V452,2023-01-30,P044,C420,Maranhão,Online,5,4393.67
V453,2023-10-19,P043,C267,Alagoas,Loja Física,5,1448.25
V454,2024-04-21,P036,C486,Mato Grosso,Online,7,2823.67
V455,2024-02-24,P004,C498,Paraíba,Loja Física,9,1661.8
V456,2024-02-10,P027,C210,Rondônia,Loja Física,7,1001.01
V457,2024-01-08,P035,C243,Alagoas,Online,5,4301.95
V458,2023-07-31,P010,C413,Rio Grande do Norte,Online,9,2122.12
V459,2024-11-23,P027,C286,Distrito Federal,Online,7,1290.01
V460,2023-06-18,P014,C170,Espírito Santo,Online,8,4250.95
V461,2023-05-05,P006,C275,São Paulo,Online,1,1415.46
V462,2024-05-01,P044,C310,Mato Grosso do Sul,Online,2,1022.0
V463,2024-06-06,P049,C301,São Paulo,Online,8,1123.56
V464,2023-07-30,P059,C171,Ceará,Online,4,4692.08
V465,2023-06-01,P048,C061,São Paulo,Loja Física,4,3508.57
V466,2023-06-22,P046,C105,Pernambuco,Online,9,1675.91
V467,2023-10-01,P019,C195,Rio Grande do Norte,Loja Física,5,1381.65
V468,2023-03-09,P033,C452,Sergipe,Loja Física,2,4033.8
V469,2024-05-02,P047,C241,Paraná,Loja Física,4,1916.45
V470,2024-04-12,P027,C024,Mato Grosso,Online,3,179.48
V471,2023-07-19,P036,C479,Mato Grosso,Loja Física,5,846.82
V472,2023-11-18,P022,C118,Pernambuco,Online,8,2798.15
V473,2023-07-31,P044,C173,Bahia,Loja Física,8,2358.06
V474,2024-11-18,P047,C408,Paraíba,Online,3,3629.54
V475,2024-07-03,P032,C095,Goiás,Online,9,265.74
V476,2024-11-23,P055,C039,Santa Catarina,Online,1,2120.72
V477,2023-01-23,P054,C323,Alagoas,Online,3,144.79
V478,2022-12-05,P033,C234,Paraíba,Online,10,3224.87
V479,2023-11-18,P060,C316,Sergipe,Loja Física,1,132.4
V480,2024-03-24,P036,C211,Acre,Online,9,3638.74
V481,2024-02-08,P035,C147,Acre,Loja Física,3,624.38
V482,2023-02-13,P007,C269,Rondônia,Online,4,3136.93
V483,2023-01-23,P017,C418,Paraíba,Loja Física,7,487.19
V484,2024-01-19,P026,C236,Mato Grosso,Online,4,1569.88
V485,2023-05-12,P053,C435,Amazonas,Online,2,2085.86
V486,2023-12-25,P025,C283,Sergipe,Online,1,3543.94
V487,2023-06-21,P006,C256,Piauí,Loja Física,10,4888.91
V488,2023-03-10,P007,C459,Distrito Federal,Online,4,1135.94
V489,2024-11-21,P056,C355,Mato Grosso,Loja Física,5,328.15
V490,2023-08-26,P005,C351,Bahia,Online,3,4650.96
V491,2024-10-12,P021,C009,Tocantins,Online,7,4651.49
V492,2023-01-20,P020,C084,Mato Grosso,Online,10,4189.79
V493,2024-10-10,P025,C347,Goiás,Loja Física,7,3802.49
V494,2023-06-05,P009,C405,Rio de Janeiro,Online,9,3752.74
V495,2023-09-11,P023,C028,Pará,Loja Física,4,4209.51
V496,2023-07-07,P022,C310,Paraná,Loja Física,6,245.17
V497,2023-03-30,P018,C402,Rio Grande do Norte,Loja Física,4,1843.47
V498,2023-11-03,P025,C222,Roraima,Loja Física,2,3883.62
V499,2024-09-05,P019,C409,Alagoas,Online,2,1413.06
V500,2024-01-23,P025,C365,Rio Grande do Sul,Online,7,1651.72
V501,2024-05-27,P007,C047,Acre,Loja Física,8,1863.6
V502,2023-07-20,P018,C053,Rondônia,Online,3,2211.8
V503,2024-03-17,P036,C285,Distrito Federal,Loja Física,2,228.68
V504,2024-08-15,P023,C284,Amazonas,Loja Física,7,160.47
V505,2024-04-18,P027,C199,Paraná,Online,9,4535.52
V506,2024-01-12,P016,C293,Distrito Federal,Online,7,930.56
V507,2022-12-04,P018,C155,Bahia,Loja Física,3,410.01
V508,2024-04-29,P028,C142,Piauí,Loja Física,8,3935.07
V509,2024-08-23,P024,C129,Alagoas,Loja Física,10,3121.68
V510,2024-02-01,P030,C055,Rondônia,Loja Física,1,4749.23
V511,2023-07-18,P022,C431,Mato Grosso do Sul,Loja Física,6,2257.09
V512,2024-11-20,P028,C418,Santa Catarina,Online,5,1671.26
V513,2024-04-26,P045,C103,Sergipe,Loja Física,3,4826.42
V514,2023-02-16,P021,C150,São Paulo,Loja Física,10,3931.67
V515,2024-11-26,P021,C193,Bahia,Loja Física,6,658.05
V516,2024-10-10,P037,C103,Mato Grosso,Online,9,231.89
V517,2023-03-12,P047,C237,Rio de Janeiro,Online,8,4008.66
V518,2023-06-21,P054,C355,Amazonas,Loja Física,8,781.98
V519,2023-02-25,P020,C124,Bahia,Online,7,3966.48
V520,2024-10-19,P005,C230,Mato Grosso do Sul,Loja Física,10,2063.94
V521,2023-02-19,P033,C473,Rio de Janeiro,Loja Física,9,280.15
V522,2024-06-26,P024,C360,Rio Grande do Sul,Online,2,3867.87
V523,2024-01-31,P043,C341,Paraíba,Online,10,317.05
V524,2023-03-28,P042,C347,Espírito Santo,Loja Física,6,4832.01
V525,2023-06-27,P028,C055,Acre,Online,5,1187.81
V526,2023-07-04,P048,C266,Goiás,Online,8,1933.19
V527,2024-03-11,P030,C396,Minas Gerais,Online,6,4988.74
V528,2023-05-10,P031,C054,Ceará,Loja Física,2,668.74
V529,2024-06-07,P047,C073,Paraíba,Loja Física,6,2331.13
V530,2023-08-21,P014,C267,Sergipe,Loja Física,8,578.35
V531,2023-05-05,P047,C357,Rio Grande do Norte,Loja Física,2,1571.29
V532,2024-05-14,P052,C364,Pará,Online,6,3275.05
V533,2024-04-03,P044,C410,Roraima,Online,9,954.82
V534,2024-09-20,P011,C170,Goiás,Loja Física,8,1236.09
V535,2023-06-21,P026,C323,Roraima,Online,7,2038.35
V536,2023-12-25,P048,C315,Tocantins,Loja Física,10,2204.81
V537,2023-12-12,P001,C361,Tocantins,Online,5,3786.39
V538,2023-06-11,P052,C408,Amazonas,Online,9,1016.1
V539,2024-10-31,P021,C101,Rio Grande do Norte,Online,5,3386.44
V540,2024-11-02,P032,C271,Espírito Santo,Loja Física,10,2004.33
V541,2024-09-15,P026,C301,Pará,Loja Física,6,4243.04
V542,2023-01-06,P040,C089,Santa Catarina,Loja Física,10,2991.82
V543,2023-02-07,P044,C069,Maranhão,Online,4,1596.36
V544,2024-04-03,P012,C192,Rio de Janeiro,Online,9,2003.47
V545,2023-10-23,P039,C071,Mato Grosso,Loja Física,7,1010.19
V546,2024-09-02,P041,C276,Rio de Janeiro,Online,9,917.64
V547,2023-06-30,P019,C072,Roraima,Loja Física,8,3135.11
V548,2023-01-01,P056,C184,Acre,Loja Física,3,1056.13
V549,2022-11-30,P025,C494,Goiás,Loja Física,7,3455.01
V550,2023-08-14,P027,C364,Santa Catarina,Loja Física,8,919.54
V551,2024-07-18,P037,C016,Rio Grande do Sul,Online,5,260.21
V552,2023-03-09,P015,C276,Ceará,Online,8,2871.69
V553,2024-04-05,P050,C393,Sergipe,Online,10,659.61
V554,2023-06-19,P050,C279,Santa Catarina,Loja Física,9,4130.79
V555,2023-04-02,P003,C390,São Paulo,Loja Física,9,1170.86
V556,2024-06-25,P028,C053,São Paulo,Online,5,4386.57
V557,2023-11-06,P003,C231,Bahia,Loja Física,2,2251.44
V558,2024-01-30,P008,C398,Rio Grande do Sul,Online,4,4072.44
V559,2024-05-29,P038,C353,Paraíba,Loja Física,3,3119.14
V560,2023-10-26,P051,C106,Santa Catarina,Online,1,2893.36
V561,2024-02-06,P035,C144,Mato Grosso do Sul,Online,6,4897.1
V562,2022-12-05,P019,C149,Mato Grosso,Loja Física,9,4928.89
V563,2023-02-22,P044,C418,Pará,Online,7,4601.97
V564,2023-01-25,P018,C444,Espírito Santo,Online,3,1323.42
V565,2024-10-13,P046,C165,Santa Catarina,Online,7,2498.35
V566,2024-05-17,P037,C324,Bahia,Loja Física,7,2314.76
V567,2024-10-30,P041,C407,Paraná,Online,7,2626.51
V568,2023-03-23,P018,C356,Paraíba,Loja Física,8,1703.72
V569,2024-01-25,P001,C445,Paraná,Online,8,3210.72
V570,2022-12-25,P045,C184,Amazonas,Loja Física,4,4843.83
V571,2024-09-06,P053,C109,Sergipe,Loja Física,6,4158.88
V572,2023-09-10,P022,C281,Mato Grosso,Online,10,4276.87
V573,2024-02-23,P051,C176,Minas Gerais,Online,1,587.92
V574,2024-01-31,P051,C429,Rio Grande do Norte,Online,2,4654.22
V575,2023-03-23,P011,C226,Rio Grande do Norte,Online,7,1091.36
V576,2023-10-27,P045,C466,Rondônia,Loja Física,3,4384.67
V577,2023-03-06,P057,C141,Amazonas,Loja Física,5,503.86
V578,2022-12-30,P043,C463,Espírito Santo,Online,1,2042.07
V579,2023-07-25,P020,C372,Rio de Janeiro,Online,7,3311.88
V580,2023-09-07,P046,C049,Acre,Online,8,481.9
V581,2024-10-26,P038,C116,Distrito Federal,Loja Física,1,139.51
V582,2024-11-21,P022,C419,Pará,Loja Física,3,2440.73
V583,2024-08-07,P015,C197,Amazonas,Online,2,1635.42
V584,2024-09-26,P057,C154,Rondônia,Loja Física,3,3243.72
V585,2022-12-28,P044,C074,Amazonas,Online,10,3285.1
V586,2024-10-26,P029,C180,São Paulo,Online,3,4607.48
V587,2023-09-01,P040,C352,Rio Grande do Norte,Online,2,4493.31
V588,2023-05-10,P009,C386,Pará,Loja Física,6,4819.92
V589,2024-05-10,P021,C406,Rondônia,Online,5,3258.64
V590,2023-06-09,P016,C284,Mato Grosso do Sul,Loja Física,1,4254.67
V591,2024-04-29,P043,C449,Ceará,Online,9,3073.94
V592,2023-02-15,P013,C383,Pernambuco,Loja Física,1,3940.63
V593,2023-08-29,P051,C489,Alagoas,Loja Física,7,652.44
V594,2024-07-25,P032,C327,Mato Grosso do Sul,Online,9,4454.75
V595,2024-02-05,P001,C185,Maranhão,Online,7,4317.99
V596,2024-10-14,P037,C216,Paraíba,Online,8,4776.82
V597,2024-10-07,P050,C038,Acre,Online,1,1384.71
V598,2023-10-09,P003,C473,Amapá,Loja Física,9,1503.79
V599,2024-03-24,P046,C257,Paraná,Loja Física,7,3538.87
V600,2024-07-02,P006,C328,Goiás,Online,5,509.63
V601,2023-03-28,P006,C262,Tocantins,Online,9,1701.08
V602,2024-11-16,P038,C325,Paraná,Online,5,3523.51
V603,2024-11-19,P047,C489,Alagoas,Online,4,522.44
V604,2023-05-30,P028,C060,Rio Grande do Norte,Online,5,3363.79
V605,2024-09-29,P043,C380,Roraima,Online,1,3568.71
V606,2023-04-03,P045,C006,Roraima,Loja Física,6,2662.73
V607,2024-08-10,P051,C422,São Paulo,Loja Física,3,1922.16
V608,2024-08-18,P048,C400,Bahia,Online,1,1741.55
V609,2023-04-14,P028,C140,Distrito Federal,Online,5,3590.38
V610,2024-10-12,P037,C322,Amazonas,Loja Física,8,2602.83
V611,2023-10-14,P004,C256,Mato Grosso,Online,6,870.82
V612,2022-12-17,P050,C053,Mato Grosso,Online,4,3729.82
V613,2023-04-16,P001,C023,Acre,Online,1,2411.65
V614,2024-06-22,P025,C472,Rondônia,Online,1,2809.04
V615,2024-11-15,P059,C366,São Paulo,Loja Física,4,1676.83
V616,2023-08-13,P027,C469,São Paulo,Loja Física,5,4147.39
V617,2024-07-27,P037,C191,Pará,Online,3,1193.61
V618,2024-11-19,P034,C024,Pernambuco,Online,8,4343.56
V619,2023-10-13,P050,C433,Ceará,Loja Física,2,2810.15
V620,2024-08-12,P001,C189,Tocantins,Loja Física,10,3944.09
V621,2024-05-01,P048,C319,Alagoas,Loja Física,6,2999.29
V622,2024-09-29,P032,C396,Paraná,Online,9,3826.36
V623,2024-06-20,P016,C078,Acre,Loja Física,1,1241.69
V624,2024-08-18,P023,C326,Santa Catarina,Online,6,107.16
V625,2023-06-08,P043,C193,São Paulo,Loja Física,2,1105.45
V626,2023-06-23,P016,C215,Sergipe,Online,3,3587.1
V627,2023-03-31,P006,C023,Alagoas,Loja Física,6,2346.44
V628,2024-07-31,P048,C044,Mato Grosso,Online,9,754.22
V629,2024-05-25,P053,C202,Amazonas,Online,7,3345.98
V630,2023-02-19,P009,C122,Ceará,Loja Física,6,4637.61
V631,2023-09-21,P026,C359,Santa Catarina,Loja Física,6,2318.51
V632,2024-10-05,P015,C039,Tocantins,Online,10,633.97
V633,2022-12-28,P007,C085,Rio Grande do Norte,Loja Física,6,2091.91
V634,2024-09-24,P035,C184,Paraná,Online,8,1610.71
V635,2023-11-28,P017,C437,Pará,Online,3,4057.22
V636,2023-05-19,P020,C424,Rio de Janeiro,Online,4,4196.03
V637,2023-05-02,P021,C076,Amazonas,Online,6,2041.6
V638,2024-08-23,P004,C347,Ceará,Loja Física,3,252.3
V639,2024-11-10,P026,C438,Rio Grande do Norte,Online,2,2364.01
V640,2023-11-20,P052,C407,Rondônia,Online,1,402.18
V641,2023-08-26,P050,C114,Rondônia,Online,7,1923.97
V642,2023-07-23,P041,C481,Espírito Santo,Online,10,2971.98
V643,2024-08-26,P059,C417,Amazonas,Online,2,1068.98
V644,2024-08-06,P042,C228,Rio Grande do Sul,Online,2,4534.88
V645,2024-10-04,P054,C415,Maranhão,Online,1,4717.18
V646,2023-05-23,P004,C087,Mato Grosso,Loja Física,7,2531.02
V647,2023-05-20,P025,C350,Piauí,Online,6,1152.11
V648,2022-12-16,P012,C141,Bahia,Loja Física,3,269.78
V649,2024-04-23,P040,C316,Alagoas,Loja Física,8,2118.76
V650,2023-04-27,P036,C246,Amapá,Online,5,1976.77
V651,2023-10-03,P027,C103,Espírito Santo,Online,9,3994.75
V652,2023-08-09,P025,C401,Rio de Janeiro,Loja Física,8,2768.14
V653,2023-07-02,P032,C177,Mato Grosso,Loja Física,7,1425.13
V654,2024-09-29,P002,C164,Mato Grosso do Sul,Online,1,4489.25
V655,2023-01-20,P050,C144,Amapá,Loja Física,9,1851.42
V656,2024-07-20,P038,C120,Roraima,Online,4,3318.64
V657,2023-07-02,P018,C274,Santa Catarina,Online,4,2920.89
V658,2023-08-27,P052,C199,Paraíba,Online,3,1259.1
V659,2024-04-09,P021,C413,São Paulo,Loja Física,10,238.21
V660,2023-12-28,P045,C181,Mato Grosso,Online,10,4747.01
V661,2023-10-04,P054,C415,Sergipe,Loja Física,3,2503.14
V662,2024-05-08,P006,C029,Alagoas,Online,1,2679.6
V663,2024-09-13,P001,C170,Mato Grosso do Sul,Online,3,1769.72
V664,2024-01-18,P012,C471,Rio Grande do Sul,Loja Física,1,207.37
V665,2023-08-12,P038,C361,Rondônia,Online,9,4317.28
V666,2024-11-26,P005,C192,Rio de Janeiro,Loja Física,10,595.06
V667,2022-12-19,P020,C166,Rondônia,Online,7,3980.03
V668,2023-02-25,P032,C333,Maranhão,Online,9,3498.45
V669,2024-10-09,P060,C315,Rio Grande do Sul,Loja Física,4,3361.11
V670,2023-06-18,P053,C090,Pernambuco,Loja Física,5,724.01
V671,2023-04-15,P047,C001,Rio de Janeiro,Loja Física,10,258.68
V672,2024-02-21,P039,C163,Rio Grande do Sul,Online,10,610.14
V673,2023-06-22,P032,C073,Maranhão,Online,4,1799.37
V674,2022-12-27,P021,C086,Espírito Santo,Online,6,2288.49
V675,2023-02-20,P017,C108,Alagoas,Online,6,1357.62
V676,2024-03-05,P007,C369,Acre,Online,7,2247.28
V677,2023-10-31,P027,C497,Roraima,Loja Física,8,4420.68
V678,2023-08-23,P023,C280,Pernambuco,Online,8,3964.78
V679,2024-06-15,P037,C334,Paraná,Online,3,2311.31
V680,2024-07-30,P052,C434,Amapá,Loja Física,1,1661.71
V681,2023-07-29,P007,C038,Maranhão,Online,7,888.43
V682,2023-11-01,P005,C281,Amazonas,Loja Física,10,4927.85
V683,2024-03-12,P058,C248,Rio de Janeiro,Online,7,4717.97
V684,2023-12-30,P011,C311,Piauí,Online,1,596.16
V685,2023-02-25,P014,C499,Tocantins,Loja Física,9,3637.99
V686,2023-09-23,P047,C277,Bahia,Loja Física,5,1263.99
V687,2024-10-26,P004,C202,Mato Grosso,Loja Física,3,367.07
V688,2024-02-18,P001,C219,Amazonas,Loja Física,10,2453.61
V689,2023-04-24,P007,C014,Tocantins,Online,5,4887.58
V690,2023-06-13,P031,C433,Pará,Loja Física,7,2407.63
V691,2023-01-01,P058,C339,Bahia,Online,9,1998.88
V692,2024-05-31,P024,C454,Pernambuco,Loja Física,3,2284.3
V693,2023-11-01,P017,C226,Rio Grande do Norte,Loja Física,4,4201.69
V694,2022-11-29,P037,C032,Rondônia,Online,2,3373.89
V695,2024-01-05,P052,C278,Piauí,Online,9,398.82
V696,2024-11-15,P025,C420,Distrito Federal,Loja Física,9,3466.63
V697,2024-08-15,P060,C244,Mato Grosso,Online,8,1564.38
V698,2024-01-20,P026,C463,Rio de Janeiro,Online,9,2898.98
V699,2024-05-14,P034,C410,Mato Grosso,Online,2,4751.35
V700,2024-06-08,P029,C089,Roraima,Online,4,718.31
V701,2024-11-27,P028,C041,Minas Gerais,Loja Física,4,4986.62
V702,2024-06-26,P041,C076,Santa Catarina,Loja Física,6,4562.94
V703,2024-06-22,P059,C414,Amazonas,Online,7,2826.18
V704,2024-05-01,P036,C167,Bahia,Loja Física,1,3954.1
V705,2023-04-30,P040,C301,Distrito Federal,Loja Física,2,2130.77
V706,2023-09-06,P010,C291,Mato Grosso,Online,2,2857.15
V707,2023-10-28,P007,C403,Ceará,Loja Física,7,1394.27
V708,2023-01-21,P042,C249,Mato Grosso,Loja Física,1,943.78
V709,2024-04-26,P026,C074,Mato Grosso do Sul,Loja Física,1,2039.38
V710,2024-11-12,P057,C170,Rio de Janeiro,Online,1,3754.17
V711,2023-08-11,P059,C138,Paraíba,Online,6,4105.19
V712,2024-03-26,P020,C160,Bahia,Loja Física,2,4865.23
V713,2023-07-29,P015,C069,Ceará,Loja Física,6,1420.16
V714,2024-04-26,P027,C310,Espírito Santo,Online,4,2264.41
V715,2024-09-16,P059,C422,Piauí,Loja Física,9,4349.23
V716,2023-03-04,P053,C029,Distrito Federal,Online,2,1624.5
V717,2024-06-09,P033,C207,Rondônia,Online,3,1044.54
V718,2024-10-27,P054,C103,Santa Catarina,Online,4,262.05
V719,2023-07-19,P004,C471,Paraíba,Online,5,1904.92
V720,2023-12-26,P030,C259,Pernambuco,Online,1,1285.5
V721,2023-07-26,P032,C305,Rio Grande do Norte,Online,8,2975.71
V722,2024-04-28,P023,C177,Roraima,Loja Física,2,1496.84
V723,2023-10-11,P025,C026,Roraima,Online,4,3272.16
V724,2023-08-08,P044,C106,Bahia,Loja Física,9,198.26
V725,2023-10-06,P050,C496,Paraná,Online,8,4566.43
V726,2024-05-22,P042,C089,Mato Grosso do Sul,Online,4,1336.71
V727,2023-07-15,P052,C483,Ceará,Loja Física,7,4487.87
V728,2024-02-01,P055,C179,Rio Grande do Norte,Loja Física,4,2386.82
V729,2023-03-06,P044,C267,Santa Catarina,Loja Física,10,601.33
V730,2023-04-26,P033,C340,Santa Catarina,Loja Física,9,3271.98
V731,2023-10-20,P039,C145,Ceará,Online,8,412.8
V732,2024-04-27,P018,C328,Maranhão,Loja Física,5,3314.99
V733,2024-11-27,P058,C334,Ceará,Online,3,2634.74
V734,2023-09-18,P016,C461,Amapá,Loja Física,6,3435.7
V735,2024-05-07,P047,C014,Espírito Santo,Loja Física,5,1371.19
V736,2024-07-01,P027,C208,Pernambuco,Online,10,3569.54
V737,2024-10-29,P037,C418,Tocantins,Loja Física,4,3462.96
V738,2023-04-12,P041,C402,Sergipe,Loja Física,9,1570.95
V739,2024-03-20,P011,C431,Minas Gerais,Online,5,578.26
V740,2024-02-13,P009,C380,Bahia,Online,6,3306.73
V741,2023-07-19,P015,C182,Alagoas,Loja Física,7,3961.64
V742,2023-10-09,P022,C191,Bahia,Loja Física,8,4270.95
V743,2024-01-27,P031,C028,Espírito Santo,Online,8,4458.19
V744,2024-09-05,P033,C062,Minas Gerais,Loja Física,9,1561.94
V745,2022-11-28,P004,C446,Rondônia,Online,4,1779.08
V746,2023-07-22,P037,C458,Rio Grande do Norte,Online,6,4325.73
V747,2023-07-08,P012,C399,Amazonas,Loja Física,6,3192.06
V748,2023-05-10,P012,C161,Espírito Santo,Online,1,2315.06
V749,2023-10-27,P014,C390,Paraná,Online,10,3845.97
V750,2024-07-30,P032,C403,Paraná,Online,3,3110.95
V751,2024-02-21,P041,C220,Pernambuco,Loja Física,8,1978.25
V752,2024-03-13,P003,C274,Tocantins,Loja Física,1,4470.83
V753,2024-04-19,P049,C427,Distrito Federal,Online,1,3416.07
V754,2023-08-05,P041,C376,Alagoas,Online,6,1629.25
V755,2023-11-24,P007,C197,Distrito Federal,Loja Física,3,419.91
V756,2023-11-06,P003,C153,Ceará,Loja Física,9,3022.21
V757,2023-11-06,P022,C223,Minas Gerais,Online,6,4981.08
V758,2024-05-05,P032,C184,Paraná,Online,3,4745.61
V759,2023-05-12,P059,C416,Pernambuco,Online,4,1199.17
V760,2023-12-30,P009,C109,São Paulo,Online,10,2572.7
V761,2023-11-30,P008,C188,Rio de Janeiro,Online,7,4395.07
V762,2024-08-05,P017,C395,Goiás,Online,10,4973.93
V763,2024-10-27,P043,C056,Espírito Santo,Online,1,3479.77
V764,2024-08-07,P027,C228,Pernambuco,Online,9,1338.42
V765,2024-06-21,P045,C079,Tocantins,Online,5,2162.27
V766,2023-04-08,P007,C340,Distrito Federal,Loja Física,10,3067.61
V767,2024-04-22,P009,C215,Santa Catarina,Online,9,3621.95
V768,2023-02-01,P008,C145,Pará,Online,8,1073.37
V769,2023-07-06,P013,C399,Bahia,Online,6,3546.84
V770,2024-01-02,P019,C083,Amapá,Loja Física,4,3472.2
V771,2024-04-26,P031,C170,Alagoas,Online,1,3391.0
V772,2024-04-02,P059,C057,Santa Catarina,Loja Física,3,4752.29
V773,2024-03-22,P050,C262,Amazonas,Online,5,3257.25
V774,2023-08-15,P030,C152,Bahia,Loja Física,1,589.06
V775,2023-02-08,P012,C448,Amapá,Loja Física,6,4027.82
V776,2024-08-24,P021,C219,São Paulo,Online,2,4271.1
V777,2024-07-03,P057,C024,Acre,Online,3,1710.44
V778,2023-05-29,P058,C225,Mato Grosso do Sul,Loja Física,2,1925.85
V779,2024-05-03,P022,C094,Pará,Loja Física,7,4815.32
V780,2023-07-27,P018,C428,Pernambuco,Loja Física,7,3279.35
V781,2023-05-21,P052,C086,Pará,Online,1,4909.69
V782,2024-08-15,P055,C082,Pará,Loja Física,10,2465.11
V783,2023-05-01,P037,C348,Rio Grande do Norte,Online,10,1960.78
V784,2023-03-22,P023,C314,Acre,Online,8,4609.95
V785,2022-12-16,P008,C455,Piauí,Loja Física,1,410.35
V786,2023-01-02,P042,C161,Acre,Online,6,2643.59
V787,2023-06-06,P045,C359,Mato Grosso do Sul,Online,7,3342.39
V788,2023-12-02,P016,C247,Paraíba,Loja Física,3,4211.26
V789,2024-03-16,P036,C457,Mato Grosso do Sul,Online,1,3252.65
V790,2024-09-18,P011,C259,Sergipe,Loja Física,3,466.84
V791,2024-07-16,P032,C165,Alagoas,Loja Física,5,346.72
V792,2023-01-23,P015,C282,Espírito Santo,Loja Física,7,4103.81
V793,2023-11-16,P006,C236,Rio Grande do Norte,Loja Física,2,4297.29
V794,2023-10-15,P029,C162,Pará,Loja Física,1,602.95
V795,2024-10-16,P027,C019,Goiás,Online,2,3979.74
V796,2024-03-31,P040,C327,Ceará,Online,8,4756.74
V797,2024-02-18,P024,C423,Amapá,Online,8,1726.67
V798,2023-04-28,P050,C318,Mato Grosso do Sul,Loja Física,6,3607.98
V799,2024-06-07,P008,C050,Paraná,Online,1,1772.65
V800,2024-05-21,P054,C325,Rio Grande do Sul,Loja Física,9,2657.73
V801,2023-09-22,P045,C055,Amapá,Online,8,788.2
V802,2023-12-16,P046,C381,São Paulo,Loja Física,2,1346.02
V803,2023-10-04,P013,C097,Pará,Loja Física,4,2339.53
V804,2023-06-05,P051,C098,Rio de Janeiro,Loja Física,2,3810.03
V805,2023-03-22,P003,C475,Espírito Santo,Online,8,2341.2
V806,2024-04-20,P038,C490,Distrito Federal,Online,8,121.25
V807,2024-05-15,P048,C025,Goiás,Loja Física,10,2466.37
V808,2022-12-02,P033,C400,Roraima,Online,3,607.41
V809,2024-10-21,P043,C308,Mato Grosso do Sul,Loja Física,9,4418.81
V810,2024-07-03,P027,C312,Rio de Janeiro,Online,5,2049.56
V811,2024-09-26,P022,C497,Ceará,Loja Física,3,777.08
V812,2024-07-18,P039,C359,São Paulo,Loja Física,9,4317.47
V813,2024-10-15,P046,C378,Goiás,Online,4,1127.59
V814,2023-02-18,P046,C149,Minas Gerais,Loja Física,3,4908.54
V815,2024-07-24,P042,C491,Roraima,Loja Física,2,3827.8
V816,2023-10-24,P036,C246,Mato Grosso,Loja Física,9,1501.05
V817,2023-05-16,P055,C217,Rio Grande do Sul,Online,9,621.71
V818,2023-04-13,P025,C075,Amapá,Online,4,1408.19
